Name,Size,Type,Subtype,Alignment,CR,XP,Source
Frog,Tiny,Beast,,Unaligned,0,0,Monster Manual pg. 322
Sea Horse,Tiny,Beast,,Unaligned,0,0,Monster Manual pg. 337
Awakened Shrub,Small,Plant,,Unaligned,0,10,Monster Manual pg. 317
Baboon,Small,Beast,,Unaligned,0,10,Monster Manual pg. 318
Badger,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 318
Bat,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 318
Cat,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 320
Commoner,Medium,Humanoid,,Any,0,10,Monster Manual pg. 344
Crab,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 320
Cranium Rat,Tiny,Beast,,LE,0,10,Volo's Guide to Monsters pg. 133
Crawling Claw,Tiny,Undead,,NE,0,10,Monster Manual pg. 44
Deer,Medium,Beast,,Unaligned,0,10,Monster Manual pg. 321
Eagle,Small,Beast,,Unaligned,0,10,Monster Manual pg. 322
Giant Fire Beetle,Small,Beast,,Unaligned,0,10,Monster Manual pg. 325
Goat,Medium,Beast,,Unaligned,0,10,Monster Manual pg. 330
Hawk,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 330
Homunculus,Tiny,Construct,,N,0,10,Monster Manual pg. 188
Hyena,Medium,Beast,,Unaligned,0,10,Monster Manual pg. 331
Jackal,Small,Beast,,Unaligned,0,10,Monster Manual pg. 331
Lemure,Medium,Fiend,devil,LE,0,10,Monster Manual pg. 76
Lizard,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 332
Myconid Sprout,Small,Plant,,LN,0,10,Monster Manual pg. 230
Octopus,Small,Beast,,Unaligned,0,10,Monster Manual pg. 333
Owl,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 333
Quipper,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 335
Rat,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 335
Raven,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 335
Scorpion,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 337
Shrieker,Medium,Plant,,Unaligned,0,10,Monster Manual pg. 138
Spider,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 337
Vulture,Medium,Beast,,Unaligned,0,10,Monster Manual pg. 339
Weasel,Tiny,Beast,,Unaligned,0,10,Monster Manual pg. 340
Bandit,Medium,Humanoid,,Any non-lawful,1/8,25,Monster Manual pg. 343
Blood Hawk,Small,Beast,,Unaligned,1/8,25,Monster Manual pg. 319
Boggle,Small,Fey,,CN,1/8,25,Volo's Guide to Monsters pg. 128
Camel,Large,Beast,,Unaligned,1/8,25,Monster Manual pg. 320
Cultist,Medium,Humanoid,,Any non-good,1/8,25,Monster Manual pg. 345
Dolphin,Medium,Beast,,Unaligned,1/8,25,Volo's Guide to Monsters pg. 208
Flumph,Small,Aberration,,LG,1/8,25,Monster Manual pg. 135
Flying Snake,Tiny,Beast,,Unaligned,1/8,25,Monster Manual pg. 322
Giant Crab,Medium,Beast,,Unaligned,1/8,25,Monster Manual pg. 324
Giant Rat,Small,Beast,,Unaligned,1/8,25,Monster Manual pg. 327
Giant Weasel,Medium,Beast,,Unaligned,1/8,25,Monster Manual pg. 329
Guard,Medium,Humanoid,,,1/8,25,Monster Manual pg. 347
Kobold,Small,Humanoid,kobold,LE,1/8,25,Monster Manual pg. 195
Manes,Small,Fiend,demon,CE,1/8,25,Monster Manual pg. 60
Mastiff,Medium,Beast,,Unaligned,1/8,25,Monster Manual pg. 332
Merfolk,Medium,Humanoid,merfolk,N,1/8,25,Monster Manual pg. 218
Monodrone,Medium,Construct,,LN,1/8,25,Monster Manual pg. 224
Mule,Medium,Beast,,Unaligned,1/8,25,Monster Manual pg. 333
Neogi Hatchling,Tiny,Aberration,,LE,1/8,25,Volo's Guide to Monsters pg. 179
Noble,Medium,Humanoid,,,1/8,25,Monster Manual pg. 348
Poisonous Snake,Tiny,Beast,,Unaligned,1/8,25,Monster Manual pg. 334
Pony,Medium,Beast,,Unaligned,1/8,25,Monster Manual pg. 335
Slaad Tadpole,Tiny,Aberration,,CN,1/8,25,Monster Manual pg. 276
Stirge,Tiny,Beast,,Unaligned,1/8,25,Monster Manual pg. 284
Tribal Warrior,Medium,Humanoid,,,1/8,25,Monster Manual pg. 350
Twig Blight,Small,Plant,,NE,1/8,25,Monster Manual pg. 32
Xvart,Small,Humanoid,xvart,CE,1/8,25,Volo's Guide to Monsters pg. 200
Young Kruthik,Small,Monstrosity,,Unaligned,1/8,25,Mordenkainen's Tome of Foes pg. 211
Aarakocra,Medium,Humanoid,aarakocra,NG,1/4,50,Monster Manual pg. 12
Abyssal Wretch,Medium,Fiend,demon,CE,1/4,50,Mordenkainen's Tome of Foes pg. 136
Acolyte,Medium,Humanoid,,Any,1/4,50,Monster Manual pg. 342
Apprentice Wizard,Medium,Humanoid,,Any,1/4,50,Volo's Guide to Monsters pg. 209
Axe Beak,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 317
Blink Dog,Medium,Fey,,LG,1/4,50,Monster Manual pg. 318
Boar,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 319
Bullywug,Medium,Humanoid,bullywug,NE,1/4,50,Monster Manual pg. 35
Constrictor Snake,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 320
Cow,Large,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 207
Deep Rothe,Medium,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 207
Derro,Small,Humanoid,derro,CE,1/4,50,Mordenkainen's Tome of Foes pg. 158
Dimetrodon,Medium,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 139
Draft Horse,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 321
Dretch,Small,Fiend,demon,CE,1/4,50,Monster Manual pg. 57
Drow,Medium,Humanoid,elf,NE,1/4,50,Monster Manual pg. 128
Duodrone,Medium,Construct,,LN,1/4,50,Monster Manual pg. 225
Elk,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 322
Flying Sword,Small,Construct,,Unaligned,1/4,50,Monster Manual pg. 20
Giant Badger,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 323
Giant Bat,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 323
Giant Centipede,Small,Beast,,Unaligned,1/4,50,Monster Manual pg. 323
Giant Frog,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 325
Giant Lizard,Large,Beast,,Unaligned,1/4,50,Monster Manual pg. 326
Giant Owl,Large,Beast,,N,1/4,50,Monster Manual pg. 327
Giant Poisonous Snake,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 327
Giant Wolf Spider,Medium,Beast,,Unaligned,1/4,50,Monster Manual pg. 330
Gnoll Witherling,Medium,Undead,,CE,1/4,50,Volo's Guide to Monsters pg. 155
Goblin,Small,Humanoid,goblinoid,NE,1/4,50,Monster Manual pg. 166
Grimlock,Medium,Humanoid,grimlock,NE,1/4,50,Monster Manual pg. 175
Grung,Small,Humanoid,grung,LE,1/4,50,Volo's Guide to Monsters pg. 156
Hadrosaurus,Large,Beast,,Unaligned,1/4,50,Volo's Guide to Monsters pg. 140
Kenku,Medium,Humanoid,kenku,CN,1/4,50,Monster Manual pg. 194
Kobold Inventor,Small,Humanoid,kobold,LE,1/4,50,Volo's Guide to Monsters pg. 166
Kuo-toa,Medium,Humanoid,kuo-toa,NE,1/4,50,Monster Manual pg. 199
