Paman Hornleaper Nugalavone
Varoth Truthbearer Gathakigone
Namahk Swiftwalker Kolakiago
Thothak Treetanner Nugalakane
Apaveith Nightdrifter Veomelo
Aurveith Mindsmasher Nalakatho
Taupath Rainjumper Athunaga
Grakon Foodcaller Agu-Vamune
Thavaphak Woundwatcher Thulavone
Maunak Rocksmasher Lakumigano
Tarapath Flintsmasher Agu-Vakanu
Tauvek Rootheart Uthenu-Kavone
Morok Goatrunner Thulaga
Auggan Goatworker Thuliano
Iravhal Keenguard Nalakigone
Iradhan Wisewarrior Munakulane
Loronak Stronglander Vunakigala
Kavamahk Higheye Uthenu-Kavi
Kanarein Deerherder Kolakeaku
Vigan Smartleaper Malukugoni
Taurhak Hornweaver Veomakane
Vamul Strongweaver Nola-Kakane
Kanarin Hidewatcher Geanakane
Viveith Braveweaver Nulakigano
Vagal Rainshot Nalakulane
Dima Foodcook Agu-Ululane
Vuneo Swiftcarver Vathunuthea
Ilaleo Frightbreaker Lakumithino
Zaulea Foodmaker Ogolageane
Nauria Daytanner Malukatake
Galvia Hardwalker Vunakageane
Digeo Steadyworker Nugalukena
Orikeo Skyfinder Uthenu-Kakume
Lauthea Honesthunter Muthalutha
Arethi Deerguard Uthenu-Kigala
Galmia Dreamcaller Nulakuthea
Pepu Rainwanderer Agu-Ulolake
Verea Tribewarrior Egumatake
Zoleo Adeptlogger Apuna-Makane
Gauvia Wisecarver Nulakukate
Thugia Rockfriend Kolakiala
Vuri Hardhunter Kolae-Gileana
Verea Lonelogger Anakaligane
Daarrea Deerwarrior Apuna-Mutha
Zakko Riverspeaker Malukathai
Pelai Highsmasher Gathakuthea
Gema Foodpicker Ugunigone
Gauthe Wiseaid Valu-Nithino
Nalgu Thunderaid Vunakugoni
Pauni Brightrunner Nola-Kakane
