Aarakocra, Strength: 0, Dexterity: 2, Constitution: 0, Intelligence: 0, Wisdom: 1, Charisma: 0,  Elemental Evil Player's Companion: pg. 4
Protector Aasimar, Strength: 0, Dexterity: 0, Constitution: 0, Intelligence: 0, Wisdom: 1, Charisma: 2,  Volo's Guide to Monsters: pg. 105
Scourge Aasimar, Strength: 0, Dexterity: 0, Constitution: 1, Intelligence: 0, Wisdom: 0, Charisma: 2,  Volo's Guide to Monsters: pg. 105
Fallen Aasimar, Strength: 1, Dexterity: 0, Constitution: 0, Intelligence: 0, Wisdom: 0, Charisma: 2,  Volo's Guide to Monsters: pg. 105
Bugbear, Strength: 2, Dexterity: 1, Constitution: 0, Intelligence: 0, Wisdom: 0, Charisma: 0,  Volo's Guide to Monsters: pg. 119
Dragonborn, Strength: 2, Dexterity: 0, Constitution: 0, Intelligence: 0, Wisdom: 0, Charisma: 1,  Player's Handbook: pg. 32
Duergar Dwarf, Strength: 1, Dexterity: 0, Constitution: 2, Intelligence: 0, Wisdom: 0, Charisma: 0,  Mordenkainen's Tome of Foes: pg. 82
Hill Dwarf, Strength: 0, Dexterity: 0, Constitution: 2, Intelligence: 0, Wisdom: 1, Charisma: 0,  Player's Handbook: pg. 20
Mountain Dwarf, Strength: 2, Dexterity: 0, Constitution: 2, Intelligence: 0, Wisdom: 0, Charisma: 0,  Player's Handbook: pg. 20
Drow Elf, Strength: 0, Dexterity: 2, Constitution: 0, Intelligence: 0, Wisdom: 0, Charisma: 1,  Player's Handbook: pg. 24
Eladrin Elf, Strength: 0, Dexterity: 2, Constitution: 0, Intelligence: 0, Wisdom: 0, Charisma: 1,  Mordenkainen's Tome of Foes: pg. 62
High Elf, Strength: 0, Dexterity: 2, Constitution: 0, Intelligence: 1, Wisdom: 0, Charisma: 0,  Player's Handbook: pg. 23
Sea Elf, Strength: 0, Dexterity: 2, Constitution: 1, Intelligence: 0, Wisdom: 0, Charisma: 0,  Mordenkainen's Tome of Foes: pg. 63
