Khanlas Zugolath
Duhrus Marursath
Cihnis Urorsath
Momros Bhebolmath
Dharas Dagosath
Doglos Dagosnath
Jolzos Ganersath
Kigis Junarath
Volnos Regorath
Zugus Bagalath
Mornos Jovozath
Jhorlos Zulasath
Khimnis Danonzath
Momros Badarath
Khornos Dhumosnath
Kuzus Anorath
Meves Dhunalmath
Rirlis Dhohlanzath
Zalzas Gomulmath
Veddes Ulolvath
Zernes Levalath
Remes Ohlomath
Jhunus Uhrolvath
Curnus Pughursath
Dhudus Malurath
Ehlen Jahnalmath
Oslyn Luhlanath
Motyn Uhnasnath
Usyn Nulusnath
Egryn Bhebuzath
Merehyn Zugerath
Atrehyn Guhromnath
Shonleryn Sohrorath
Bhuthremen Jamadath
Begrunyn Nobulnath
Inryn Ubolath
Mirlyn Gabodath
Sholthyn Madosath
Vlenryn Lohlenath
Shahnyn Jaramnath
Ulanyn Sagelath
Malramyn Ruhragath
Esnoryn Pahrursath
Duthodyn Zahlomath
Wodoryn Duvalmath
Ulromyn Dubenath
Iddohyn Revugath
Bothraryn Ladolmath
Matrimyn Nuhnorsath
Whuddahen Avunath
